x,y
hector flores the president of,lulac
flores the president of lulac,.
the president of lulac .,thank
president of lulac . thank,you
of lulac . thank you,all
lulac . thank you all,for
. thank you all for,joining
thank you all for joining,us
you all for joining us,.
all for joining us .,applause
for joining us . applause,.
joining us . applause .,many
us . applause . many,of
. applause . many of,you
applause . many of you,here
. many of you here,today
many of you here today,are
of you here today are,americans
you here today are americans,by
here today are americans by,choice
today are americans by choice,and
are americans by choice and,you
americans by choice and you,have
by choice and you have,followed
choice and you have followed,in
and you have followed in,the
you have followed in the,path
have followed in the path,of
followed in the path of,millions
in the path of millions,.
the path of millions .,and
path of millions . and,over
of millions . and over,the
millions . and over the,generations
. and over the generations,we
and over the generations we,have
over the generations we have,received
the generations we have received,energetic
generations we have received energetic,ambitious
we have received energetic ambitious,optimistic
have received energetic ambitious optimistic,people
received energetic ambitious optimistic people,from
energetic ambitious optimistic people from,every
ambitious optimistic people from every,part
optimistic people from every part,of
people from every part of,the
from every part of the,world
every part of the world,.
part of the world .,by
of the world . by,tradition
the world . by tradition,and
world . by tradition and,conviction
. by tradition and conviction,our
by tradition and conviction our,country
tradition and conviction our country,is
and conviction our country is,a
conviction our country is a,welcoming
our country is a welcoming,society
country is a welcoming society,.
is a welcoming society .,america
a welcoming society . america,is
welcoming society . america is,a
society . america is a,stronger
. america is a stronger,and
america is a stronger and,better
is a stronger and better,nation
a stronger and better nation,because
stronger and better nation because,of
and better nation because of,the
better nation because of the,hard
nation because of the hard,work
because of the hard work,and
of the hard work and,the
the hard work and the,faith
hard work and the faith,and
work and the faith and,entrepreneurial
and the faith and entrepreneurial,spirit
the faith and entrepreneurial spirit,of
faith and entrepreneurial spirit of,immigrants
and entrepreneurial spirit of immigrants,.
entrepreneurial spirit of immigrants .,every
spirit of immigrants . every,generation
of immigrants . every generation,of
immigrants . every generation of,immigrants
. every generation of immigrants,has
every generation of immigrants has,reaffirmed
generation of immigrants has reaffirmed,the
of immigrants has reaffirmed the,wisdom
immigrants has reaffirmed the wisdom,of
has reaffirmed the wisdom of,remaining
reaffirmed the wisdom of remaining,open
the wisdom of remaining open,to
wisdom of remaining open to,the
of remaining open to the,talents
remaining open to the talents,and
open to the talents and,dreams
to the talents and dreams,of
the talents and dreams of,the
talents and dreams of the,world
and dreams of the world,.
dreams of the world .,and
of the world . and,every
the world . and every,generation
world . and every generation,of
. and every generation of,immigrants
and every generation of immigrants,has
every generation of immigrants has,reaffirmed
generation of immigrants has reaffirmed,our
of immigrants has reaffirmed our,ability
immigrants has reaffirmed our ability,to
has reaffirmed our ability to,assimilate
reaffirmed our ability to assimilate,newcomers
our ability to assimilate newcomers,--
ability to assimilate newcomers --,which
to assimilate newcomers -- which,is
assimilate newcomers -- which is,one
newcomers -- which is one,of
-- which is one of,the
which is one of the,defining
is one of the defining,strengths
one of the defining strengths,of
of the defining strengths of,our
the defining strengths of our,country
defining strengths of our country,.
strengths of our country .,during
of our country . during,one
our country . during one,great
country . during one great,period
. during one great period,of
during one great period of,immigration
one great period of immigration,--
great period of immigration --,between
period of immigration -- between,1891
of immigration -- between 1891,and
immigration -- between 1891 and,1920
-- between 1891 and 1920,--
between 1891 and 1920 --,our
1891 and 1920 -- our,nation
and 1920 -- our nation,received
1920 -- our nation received,some
-- our nation received some,18
our nation received some 18,million
nation received some 18 million,men
received some 18 million men,women
some 18 million men women,and
18 million men women and,children
million men women and children,from
men women and children from,other
women and children from other,nations
and children from other nations,.
children from other nations .,the
from other nations . the,hard
other nations . the hard,work
nations . the hard work,of
. the hard work of,these
the hard work of these,immigrants
hard work of these immigrants,helped
work of these immigrants helped,make
of these immigrants helped make,our
these immigrants helped make our,economy
immigrants helped make our economy,the
helped make our economy the,largest
make our economy the largest,in
our economy the largest in,the
economy the largest in the,world
the largest in the world,.
largest in the world .,the
in the world . the,children
the world . the children,of
world . the children of,immigrants
. the children of immigrants,put
the children of immigrants put,on
children of immigrants put on,the
of immigrants put on the,uniform
immigrants put on the uniform,and
put on the uniform and,helped
on the uniform and helped,to
the uniform and helped to,liberate
uniform and helped to liberate,the
and helped to liberate the,lands
helped to liberate the lands,of
to liberate the lands of,their
liberate the lands of their,ancestors
the lands of their ancestors,.
lands of their ancestors .,one
of their ancestors . one,of
their ancestors . one of,the
ancestors . one of the,primary
. one of the primary,reasons
one of the primary reasons,america
of the primary reasons america,became
the primary reasons america became,a
primary reasons america became a,great
reasons america became a great,power
america became a great power,in
became a great power in,the
a great power in the,20th
great power in the 20th,century
power in the 20th century,is
in the 20th century is,because
the 20th century is because,we
20th century is because we,welcomed
century is because we welcomed,the
is because we welcomed the,talent
because we welcomed the talent,and
we welcomed the talent and,the
welcomed the talent and the,character
the talent and the character,and
talent and the character and,the
and the character and the,patriotism
the character and the patriotism,of
character and the patriotism of,immigrant
and the patriotism of immigrant,families
the patriotism of immigrant families,.
patriotism of immigrant families .,the
of immigrant families . the,contributions
immigrant families . the contributions,of
families . the contributions of,immigrants
. the contributions of immigrants,to
the contributions of immigrants to,america
contributions of immigrants to america,continue
of immigrants to america continue,.
immigrants to america continue .,about
to america continue . about,14
america continue . about 14,percent
continue . about 14 percent,of
. about 14 percent of,our
about 14 percent of our,nation
14 percent of our nation,'s
percent of our nation 's,civilian
of our nation 's civilian,workforce
our nation 's civilian workforce,is
nation 's civilian workforce is,foreign-born
's civilian workforce is foreign-born,.
civilian workforce is foreign-born .,most
workforce is foreign-born . most,begin
is foreign-born . most begin,their
foreign-born . most begin their,working
. most begin their working,lives
most begin their working lives,in
begin their working lives in,america
their working lives in america,by
working lives in america by,taking
lives in america by taking,hard
in america by taking hard,jobs
america by taking hard jobs,and
by taking hard jobs and,clocking
taking hard jobs and clocking,long
hard jobs and clocking long,hours
jobs and clocking long hours,in
and clocking long hours in,important
clocking long hours in important,industries
long hours in important industries,.
hours in important industries .,many
in important industries . many,immigrants
important industries . many immigrants,also
industries . many immigrants also,start
. many immigrants also start,businesses
many immigrants also start businesses,taking
immigrants also start businesses taking,the
also start businesses taking the,familiar
start businesses taking the familiar,path
businesses taking the familiar path,from
taking the familiar path from,hired
the familiar path from hired,labor
familiar path from hired labor,to
path from hired labor to,ownership
from hired labor to ownership,.
hired labor to ownership .,as
labor to ownership . as,a
to ownership . as a,texan
ownership . as a texan,i
. as a texan i,have
as a texan i have,known
a texan i have known,many
texan i have known many,immigrant
i have known many immigrant,families
have known many immigrant families,mainly
known many immigrant families mainly,from
many immigrant families mainly from,mexico
immigrant families mainly from mexico,and
families mainly from mexico and,i
mainly from mexico and i,have
from mexico and i have,seen
mexico and i have seen,what
and i have seen what,they
i have seen what they,add
have seen what they add,to
seen what they add to,our
what they add to our,country
they add to our country,.
add to our country .,they
to our country . they,bring
our country . they bring,to
country . they bring to,america
. they bring to america,the
they bring to america the,values
bring to america the values,of
to america the values of,faith
america the values of faith,in
the values of faith in,god
values of faith in god,love
of faith in god love,of
faith in god love of,family
in god love of family,hard
god love of family hard,work
love of family hard work,and
of family hard work and,self
family hard work and self,reliance
hard work and self reliance,--
work and self reliance --,the
and self reliance -- the,values
self reliance -- the values,that
reliance -- the values that,made
-- the values that made,us
the values that made us,a
values that made us a,great
that made us a great,nation
made us a great nation,to
us a great nation to,begin
a great nation to begin,with
great nation to begin with,.
nation to begin with .,we
to begin with . we,'ve
begin with . we 've,all
with . we 've all,seen
. we 've all seen,those
we 've all seen those,values
've all seen those values,in
all seen those values in,action
seen those values in action,through
those values in action through,the
values in action through the,service
in action through the service,and
action through the service and,sacrifice
through the service and sacrifice,of
the service and sacrifice of,more
service and sacrifice of more,than
and sacrifice of more than,"35,000"
"sacrifice of more than 35,000",foreign-born
"of more than 35,000 foreign-born",men
"more than 35,000 foreign-born men",and
"than 35,000 foreign-born men and",women
"35,000 foreign-born men and women",currently
foreign-born men and women currently,on
men and women currently on,active
and women currently on active,duty
women currently on active duty,in
currently on active duty in,the
on active duty in the,united
active duty in the united,states
duty in the united states,military
in the united states military,.
the united states military .,one
united states military . one,of
states military . one of,them
military . one of them,is
. one of them is,master
one of them is master,gunnery
of them is master gunnery,sergeant
them is master gunnery sergeant,guadalupe
is master gunnery sergeant guadalupe,denogean
master gunnery sergeant guadalupe denogean,an
gunnery sergeant guadalupe denogean an,immigrant
sergeant guadalupe denogean an immigrant,from
guadalupe denogean an immigrant from,mexico
denogean an immigrant from mexico,who
an immigrant from mexico who,has
immigrant from mexico who has,served
from mexico who has served,in
mexico who has served in,the
who has served in the,marine
has served in the marine,corps
served in the marine corps,for
in the marine corps for,25
the marine corps for 25,years
marine corps for 25 years,and
corps for 25 years and,counting
for 25 years and counting,.
25 years and counting .,last
years and counting . last,year
and counting . last year,i
counting . last year i,was
. last year i was,honored
last year i was honored,and
year i was honored and,proud
i was honored and proud,to
was honored and proud to,witness
honored and proud to witness,sergeant
and proud to witness sergeant,denogean
proud to witness sergeant denogean,take
to witness sergeant denogean take,the
witness sergeant denogean take the,oath
sergeant denogean take the oath,of
denogean take the oath of,citizenship
take the oath of citizenship,in
the oath of citizenship in,a
oath of citizenship in a,hospital
of citizenship in a hospital,where
citizenship in a hospital where,he
in a hospital where he,was
a hospital where he was,recovering
hospital where he was recovering,from
where he was recovering from,wounds
he was recovering from wounds,he
was recovering from wounds he,received
recovering from wounds he received,in
from wounds he received in,iraq
wounds he received in iraq,.
he received in iraq .,i
received in iraq . i,'m
in iraq . i 'm,honored
iraq . i 'm honored,to
. i 'm honored to,be
i 'm honored to be,his
'm honored to be his,commander-in-chief
honored to be his commander-in-chief,i
to be his commander-in-chief i,'m
be his commander-in-chief i 'm,proud
his commander-in-chief i 'm proud,to
commander-in-chief i 'm proud to,call
i 'm proud to call,him
'm proud to call him,a
proud to call him a,fellow
to call him a fellow,american
call him a fellow american,.
him a fellow american .,applause
a fellow american . applause,.
fellow american . applause .,as
american . applause . as,a
. applause . as a,nation
applause . as a nation,that
. as a nation that,values
as a nation that values,immigration
a nation that values immigration,and
nation that values immigration and,depends
that values immigration and depends,on
values immigration and depends on,immigration
immigration and depends on immigration,we
and depends on immigration we,should
depends on immigration we should,have
on immigration we should have,immigration
immigration we should have immigration,laws
we should have immigration laws,that
should have immigration laws that,work
have immigration laws that work,and
immigration laws that work and,make
laws that work and make,us
that work and make us,proud
work and make us proud,.
and make us proud .,yet
make us proud . yet,today
us proud . yet today,we
proud . yet today we,do
. yet today we do,not
yet today we do not,.
today we do not .,instead
we do not . instead,we
do not . instead we,see
not . instead we see,many
. instead we see many,employers
instead we see many employers,turning
we see many employers turning,to
see many employers turning to,the
many employers turning to the,illegal
employers turning to the illegal,labor
turning to the illegal labor,market
to the illegal labor market,.
the illegal labor market .,we
illegal labor market . we,see
labor market . we see,millions
market . we see millions,of
. we see millions of,hard-working
we see millions of hard-working,men
see millions of hard-working men,and
millions of hard-working men and,women
of hard-working men and women,condemned
hard-working men and women condemned,to
men and women condemned to,fear
and women condemned to fear,and
women condemned to fear and,insecurity
condemned to fear and insecurity,in
to fear and insecurity in,a
fear and insecurity in a,massive
and insecurity in a massive,undocumented
insecurity in a massive undocumented,economy
in a massive undocumented economy,.
a massive undocumented economy .,illegal
massive undocumented economy . illegal,entry
undocumented economy . illegal entry,across
economy . illegal entry across,our
. illegal entry across our,borders
illegal entry across our borders,makes
entry across our borders makes,more
across our borders makes more,difficult
our borders makes more difficult,the
borders makes more difficult the,urgent
makes more difficult the urgent,task
more difficult the urgent task,of
difficult the urgent task of,securing
the urgent task of securing,the
urgent task of securing the,homeland
task of securing the homeland,.
of securing the homeland .,the
securing the homeland . the,system
the homeland . the system,is
homeland . the system is,not
. the system is not,working
the system is not working,.
system is not working .,our
is not working . our,nation
not working . our nation,needs
working . our nation needs,an
. our nation needs an,immigration
our nation needs an immigration,system
nation needs an immigration system,that
needs an immigration system that,serves
an immigration system that serves,the
immigration system that serves the,american
system that serves the american,economy
that serves the american economy,and
serves the american economy and,reflects
the american economy and reflects,the
american economy and reflects the,american
economy and reflects the american,dream
and reflects the american dream,.
reflects the american dream .,reform
the american dream . reform,must
american dream . reform must,begin
dream . reform must begin,by
. reform must begin by,confronting
reform must begin by confronting,a
must begin by confronting a,basic
begin by confronting a basic,fact
by confronting a basic fact,of
confronting a basic fact of,life
a basic fact of life,and
basic fact of life and,economics
fact of life and economics,some
of life and economics some,of
life and economics some of,the
and economics some of the,jobs
economics some of the jobs,being
some of the jobs being,generated
of the jobs being generated,in
the jobs being generated in,america
jobs being generated in america,'s
being generated in america 's,growing
generated in america 's growing,economy
in america 's growing economy,are
america 's growing economy are,jobs
's growing economy are jobs,american
growing economy are jobs american,citizens
economy are jobs american citizens,are
are jobs american citizens are,not
jobs american citizens are not,filling
american citizens are not filling,.
citizens are not filling .,yet
are not filling . yet,these
not filling . yet these,jobs
filling . yet these jobs,represent
. yet these jobs represent,a
yet these jobs represent a,tremendous
these jobs represent a tremendous,opportunity
jobs represent a tremendous opportunity,for
represent a tremendous opportunity for,workers
a tremendous opportunity for workers,from
tremendous opportunity for workers from,abroad
opportunity for workers from abroad,who
for workers from abroad who,want
workers from abroad who want,to
from abroad who want to,work
abroad who want to work,and
who want to work and,fulfill
want to work and fulfill,their
to work and fulfill their,duties
work and fulfill their duties,as
and fulfill their duties as,a
fulfill their duties as a,husband
their duties as a husband,or
duties as a husband or,a
as a husband or a,wife
a husband or a wife,a
husband or a wife a,son
or a wife a son,or
a wife a son or,a
wife a son or a,daughter
a son or a daughter,.
son or a daughter .,their
or a daughter . their,search
a daughter . their search,for
daughter . their search for,a
. their search for a,better
their search for a better,life
search for a better life,is
for a better life is,one
a better life is one,of
better life is one of,the
life is one of the,most
is one of the most,basic
one of the most basic,desires
of the most basic desires,of
the most basic desires of,human
most basic desires of human,beings
basic desires of human beings,.
desires of human beings .,many
of human beings . many,undocumented
human beings . many undocumented,workers
beings . many undocumented workers,have
. many undocumented workers have,walked
many undocumented workers have walked,mile
undocumented workers have walked mile,after
workers have walked mile after,mile
have walked mile after mile,through
walked mile after mile through,the
mile after mile through the,heat
after mile through the heat,of
mile through the heat of,the
through the heat of the,day
the heat of the day,and
heat of the day and,the
of the day and the,cold
the day and the cold,of
day and the cold of,the
and the cold of the,night
the cold of the night,.
cold of the night .,some
of the night . some,have
the night . some have,risked
night . some have risked,their
. some have risked their,lives
some have risked their lives,in
have risked their lives in,dangerous
risked their lives in dangerous,desert
their lives in dangerous desert,border
lives in dangerous desert border,crossings
in dangerous desert border crossings,or
dangerous desert border crossings or,entrusted
desert border crossings or entrusted,their
border crossings or entrusted their,lives
crossings or entrusted their lives,to
or entrusted their lives to,the
entrusted their lives to the,brutal
their lives to the brutal,rings
lives to the brutal rings,of
to the brutal rings of,heartless
the brutal rings of heartless,human
brutal rings of heartless human,smugglers
rings of heartless human smugglers,.
of heartless human smugglers .,workers
heartless human smugglers . workers,who
human smugglers . workers who,seek
smugglers . workers who seek,only
. workers who seek only,to
workers who seek only to,earn
who seek only to earn,a
seek only to earn a,living
only to earn a living,end
to earn a living end,up
earn a living end up,in
a living end up in,the
living end up in the,shadows
end up in the shadows,of
up in the shadows of,american
in the shadows of american,life
the shadows of american life,--
shadows of american life --,fearful
of american life -- fearful,often
american life -- fearful often,abused
life -- fearful often abused,and
-- fearful often abused and,exploited
fearful often abused and exploited,.
often abused and exploited .,when
abused and exploited . when,they
and exploited . when they,are
exploited . when they are,victimized
. when they are victimized,by
when they are victimized by,crime
they are victimized by crime,they
are victimized by crime they,are
victimized by crime they are,afraid
by crime they are afraid,to
crime they are afraid to,call
they are afraid to call,the
are afraid to call the,police
afraid to call the police,or
to call the police or,seek
call the police or seek,recourse
the police or seek recourse,in
police or seek recourse in,the
or seek recourse in the,legal
seek recourse in the legal,system
recourse in the legal system,.
in the legal system .,they
the legal system . they,are
legal system . they are,cut
system . they are cut,off
. they are cut off,from
they are cut off from,their
are cut off from their,families
cut off from their families,far
off from their families far,away
from their families far away,fearing
their families far away fearing,if
families far away fearing if,they
far away fearing if they,leave
away fearing if they leave,our
fearing if they leave our,country
if they leave our country,to
they leave our country to,visit
leave our country to visit,relatives
our country to visit relatives,back
country to visit relatives back,home
to visit relatives back home,they
visit relatives back home they,might
relatives back home they might,never
back home they might never,be
home they might never be,able
they might never be able,to
might never be able to,return
never be able to return,to
be able to return to,their
able to return to their,jobs
to return to their jobs,.
return to their jobs .,the
to their jobs . the,situation
their jobs . the situation,i
jobs . the situation i,described
. the situation i described,is
the situation i described is,wrong
situation i described is wrong,.
i described is wrong .,it
described is wrong . it,is
is wrong . it is,not
wrong . it is not,the
. it is not the,american
it is not the american,way
is not the american way,.
not the american way .,out
the american way . out,of
american way . out of,common
way . out of common,sense
. out of common sense,and
out of common sense and,fairness
of common sense and fairness,our
common sense and fairness our,laws
sense and fairness our laws,should
and fairness our laws should,allow
fairness our laws should allow,willing
our laws should allow willing,workers
laws should allow willing workers,to
should allow willing workers to,enter
allow willing workers to enter,our
willing workers to enter our,country
workers to enter our country,and
to enter our country and,fill
enter our country and fill,jobs
our country and fill jobs,that
country and fill jobs that,americans
and fill jobs that americans,have
fill jobs that americans have,are
jobs that americans have are,not
that americans have are not,filling
americans have are not filling,.
have are not filling .,applause
are not filling . applause,.
not filling . applause .,we
filling . applause . we,must
. applause . we must,make
applause . we must make,our
. we must make our,immigration
we must make our immigration,laws
must make our immigration laws,more
make our immigration laws more,rational
our immigration laws more rational,and
immigration laws more rational and,more
laws more rational and more,humane
more rational and more humane,.
rational and more humane .,and
and more humane . and,i
more humane . and i,believe
humane . and i believe,we
. and i believe we,can
and i believe we can,do
i believe we can do,so
believe we can do so,without
we can do so without,jeopardizing
can do so without jeopardizing,the
do so without jeopardizing the,livelihoods
so without jeopardizing the livelihoods,of
without jeopardizing the livelihoods of,american
jeopardizing the livelihoods of american,citizens
the livelihoods of american citizens,.
livelihoods of american citizens .,our
of american citizens . our,reforms
american citizens . our reforms,should
citizens . our reforms should,be
. our reforms should be,guided
our reforms should be guided,by
reforms should be guided by,a
should be guided by a,few
be guided by a few,basic
guided by a few basic,principles
by a few basic principles,.
a few basic principles .,first
few basic principles . first,america
basic principles . first america,must
principles . first america must,control
. first america must control,its
first america must control its,borders
america must control its borders,.
must control its borders .,following
control its borders . following,the
its borders . following the,attacks
borders . following the attacks,of
. following the attacks of,september
following the attacks of september,the
the attacks of september the,11th
attacks of september the 11th,2001
of september the 11th 2001,this
september the 11th 2001 this,duty
the 11th 2001 this duty,of
11th 2001 this duty of,the
2001 this duty of the,federal
this duty of the federal,government
duty of the federal government,has
of the federal government has,become
the federal government has become,even
federal government has become even,more
government has become even more,urgent
has become even more urgent,.
become even more urgent .,and
even more urgent . and,we
more urgent . and we,'re
urgent . and we 're,fulfilling
. and we 're fulfilling,that
and we 're fulfilling that,duty
we 're fulfilling that duty,.
're fulfilling that duty .,for
fulfilling that duty . for,the
that duty . for the,first
duty . for the first,time
. for the first time,in
for the first time in,our
the first time in our,history
first time in our history,we
time in our history we,have
in our history we have,consolidated
our history we have consolidated,all
history we have consolidated all,border
we have consolidated all border,agencies
have consolidated all border agencies,under
consolidated all border agencies under,one
all border agencies under one,roof
border agencies under one roof,to
agencies under one roof to,make
under one roof to make,sure
one roof to make sure,they
roof to make sure they,share
to make sure they share,information
make sure they share information,and
sure they share information and,the
they share information and the,work
share information and the work,is
information and the work is,more
and the work is more,effective
the work is more effective,.
work is more effective .,we
is more effective . we,'re
more effective . we 're,matching
effective . we 're matching,all
. we 're matching all,visa
we 're matching all visa,applicants
're matching all visa applicants,against
matching all visa applicants against,an
all visa applicants against an,expanded
visa applicants against an expanded,screening
applicants against an expanded screening,list
against an expanded screening list,to
an expanded screening list to,identify
expanded screening list to identify,terrorists
screening list to identify terrorists,and
list to identify terrorists and,criminals
to identify terrorists and criminals,and
identify terrorists and criminals and,immigration
terrorists and criminals and immigration,violators
and criminals and immigration violators,.
criminals and immigration violators .,this
and immigration violators . this,month
immigration violators . this month,we
violators . this month we,have
. this month we have,begun
this month we have begun,using
month we have begun using,advanced
we have begun using advanced,technology
have begun using advanced technology,to
begun using advanced technology to,better
using advanced technology to better,record
advanced technology to better record,and
technology to better record and,track
to better record and track,aliens
better record and track aliens,who
record and track aliens who,enter
and track aliens who enter,our
track aliens who enter our,country
aliens who enter our country,--
who enter our country --,and
enter our country -- and,to
our country -- and to,make
country -- and to make,sure
-- and to make sure,they
and to make sure they,leave
to make sure they leave,as
make sure they leave as,scheduled
sure they leave as scheduled,.
they leave as scheduled .,we
leave as scheduled . we,have
as scheduled . we have,deployed
scheduled . we have deployed,new
. we have deployed new,gamma
we have deployed new gamma,and
have deployed new gamma and,x-ray
deployed new gamma and x-ray,systems
new gamma and x-ray systems,to
gamma and x-ray systems to,scan
and x-ray systems to scan,cargo
x-ray systems to scan cargo,and
systems to scan cargo and,containers
to scan cargo and containers,and
scan cargo and containers and,shipments
cargo and containers and shipments,at
and containers and shipments at,ports
containers and shipments at ports,of
and shipments at ports of,entry
shipments at ports of entry,to
at ports of entry to,america
ports of entry to america,.
of entry to america .,we
entry to america . we,have
to america . we have,significantly
america . we have significantly,expanded
. we have significantly expanded,the
we have significantly expanded the,border
have significantly expanded the border,patrol
significantly expanded the border patrol,--
expanded the border patrol --,with
the border patrol -- with,more
border patrol -- with more,than
patrol -- with more than,a
-- with more than a,thousand
with more than a thousand,new
more than a thousand new,agents
than a thousand new agents,on
a thousand new agents on,the
thousand new agents on the,borders
new agents on the borders,and
agents on the borders and,40
on the borders and 40,percent
the borders and 40 percent,greater
borders and 40 percent greater,funding
and 40 percent greater funding,over
40 percent greater funding over,the
percent greater funding over the,last
greater funding over the last,two
funding over the last two,years
over the last two years,.
the last two years .,we
last two years . we,'re
two years . we 're,working
years . we 're working,closely
. we 're working closely,with
we 're working closely with,the
're working closely with the,canadian
working closely with the canadian,and
closely with the canadian and,mexican
with the canadian and mexican,governments
the canadian and mexican governments,to
canadian and mexican governments to,increase
and mexican governments to increase,border
mexican governments to increase border,security
governments to increase border security,.
to increase border security .,america
increase border security . america,is
border security . america is,acting
security . america is acting,on
. america is acting on,a
america is acting on a,basic
is acting on a basic,belief
acting on a basic belief,our
on a basic belief our,borders
a basic belief our borders,should
basic belief our borders should,be
belief our borders should be,open
our borders should be open,to
borders should be open to,legal
should be open to legal,travel
be open to legal travel,and
open to legal travel and,honest
to legal travel and honest,trade
legal travel and honest trade,;
travel and honest trade ;,our
and honest trade ; our,borders
honest trade ; our borders,should
trade ; our borders should,be
; our borders should be,shut
our borders should be shut,and
borders should be shut and,barred
should be shut and barred,tight
be shut and barred tight,to
shut and barred tight to,criminals
and barred tight to criminals,to
barred tight to criminals to,drug
tight to criminals to drug,traders
to criminals to drug traders,to
criminals to drug traders to,drug
to drug traders to drug,traffickers
drug traders to drug traffickers,and
traders to drug traffickers and,to
to drug traffickers and to,criminals
drug traffickers and to criminals,and
traffickers and to criminals and,to
and to criminals and to,terrorists
to criminals and to terrorists,.
criminals and to terrorists .,second
and to terrorists . second,new
to terrorists . second new,immigration
terrorists . second new immigration,laws
